,Name,First Name,Last Name,Identifier,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time,Email,Section,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total quizzes,Average quizzes,Quiz Score,Final score,Ceiling score,Final Grade
127,"Marshall, Shawn",Shawn,Marshall,sgm04582,70.0,80,2019-08-29,73,80,2019-09-05,50,80,2019-09-12,96,100,2019-09-19,49,70,2019-09-26,55,90,2019-10-03,46,50,2019-10-10,52,70,2019-10-17,38,60,2019-10-24,39,60,2019-10-31,69,100,2019-10-08,68,100,2019-11-08,62,100,2019-12-08,shawn.marshall@univ.edu,1,8,9,15,11,6,0.69,0.68,0.62,0.7675675675675676,0.7629801587301588,0.7675675675675676,0.7101449275362319,0.6990679908326967,0.7101449275362319,0.7155705052878967,72.0,C
134,"Warren, Tamara",Tamara,Warren,tsw14969,74.0,80,2019-08-29,53,80,2019-09-05,48,80,2019-09-12,92,100,2019-09-19,57,70,2019-09-26,58,90,2019-10-03,44,50,2019-10-10,54,70,2019-10-17,56,60,2019-10-24,52,60,2019-10-31,77,100,2019-10-08,80,100,2019-11-08,99,100,2019-12-08,tamara.warren@univ.edu,1,10,14,16,7,11,0.77,0.8,0.99,0.7945945945945946,0.8017658730158731,0.8017658730158731,0.8405797101449275,0.8400534759358289,0.8405797101449275,0.8398802622498276,84.0,B
137,"Hernandez, Taylor",Taylor,Hernandez,thh29195,54.0,80,2019-08-29,52,80,2019-09-05,53,80,2019-09-12,67,100,2019-09-19,56,70,2019-09-26,77,90,2019-10-03,33,50,2019-10-10,57,70,2019-10-17,52,60,2019-10-24,46,60,2019-10-31,92,100,2019-10-08,83,100,2019-11-08,98,100,2019-12-08,taylor.hernandez@univ.edu,1,11,12,14,5,9,0.92,0.83,0.98,0.7391891891891892,0.7420674603174603,0.7420674603174603,0.7391304347826086,0.7461344537815127,0.7461344537815127,0.7966673202614378,80.0,B
138,"Terry, Thomas",Thomas,Terry,txt65366,72.0,80,2019-08-29,60,80,2019-09-05,51,80,2019-09-12,96,100,2019-09-19,51,70,2019-09-26,87,90,2019-10-03,31,50,2019-10-10,43,70,2019-10-17,41,60,2019-10-24,50,60,2019-10-31,83,100,2019-10-08,74,100,2019-11-08,99,100,2019-12-08,thomas.terry@univ.edu,1,8,14,13,8,9,0.83,0.74,0.99,0.7864864864864864,0.7693690476190477,0.7864864864864864,0.7536231884057971,0.7493481028775146,0.7536231884057971,0.8046815511163338,81.0,B
139,"Ortega, Tiffany",Tiffany,Ortega,tmo55387,64.0,80,2019-08-29,56,80,2019-09-05,56,80,2019-09-12,63,100,2019-09-19,58,70,2019-09-26,79,90,2019-10-03,30,50,2019-10-10,65,70,2019-10-17,51,60,2019-10-24,51,60,2019-10-31,70,100,2019-10-08,82,100,2019-11-08,62,100,2019-12-08,tiffany.ortega@univ.edu,1,7,8,15,14,12,0.7,0.82,0.62,0.7743243243243243,0.7764920634920635,0.7764920634920635,0.8115942028985508,0.810409982174688,0.8115942028985508,0.7640750862663906,77.0,C
140,"Parker, Timothy",Timothy,Parker,txp55047,50.0,80,2019-08-29,76,80,2019-09-05,65,80,2019-09-12,72,100,2019-09-19,68,70,2019-09-26,65,90,2019-10-03,42,50,2019-10-10,50,70,2019-10-17,43,60,2019-10-24,59,60,2019-10-31,73,100,2019-10-08,93,100,2019-11-08,66,100,2019-12-08,timothy.parker@univ.edu,1,9,14,13,14,10,0.73,0.93,0.66,0.7972972972972973,0.8055436507936508,0.8055436507936508,0.8695652173913043,0.8699108734402852,0.8699108734402852,0.8116907223495459,82.0,B
143,"Foster, Tommy",Tommy,Foster,txf41578,49.0,80,2019-08-29,63,80,2019-09-05,51,80,2019-09-12,83,100,2019-09-19,64,70,2019-09-26,86,90,2019-10-03,32,50,2019-10-10,56,70,2019-10-17,51,60,2019-10-24,38,60,2019-10-31,78,100,2019-10-08,88,100,2019-11-08,65,100,2019-12-08,tommy.foster@univ.edu,1,9,9,7,10,9,0.78,0.88,0.65,0.7743243243243243,0.7660674603174602,0.7743243243243243,0.6376811594202898,0.6588464476699771,0.6588464476699771,0.7318836640307229,74.0,C
144,"Joyce, Traci",Traci,Joyce,txj12345,0.0,80,2019-08-29,77,80,2019-09-05,58,80,2019-09-12,91,100,2019-09-19,66,70,2019-09-26,78,90,2019-10-03,30,50,2019-10-10,69,70,2019-10-17,59,60,2019-10-24,53,60,2019-10-31,100,100,2019-10-08,84,100,2019-11-08,64,100,2019-12-08,traci.joyce@univ.edu,1,8,6,14,9,4,1.0,0.84,0.64,0.7851351351351351,0.7859404761904762,0.7859404761904762,0.5942028985507246,0.5853985230455819,0.5942028985507246,0.7226370600414079,73.0,C
145,"Washington, Travis",Travis,Washington,txw75701,64.0,80,2019-08-29,67,80,2019-09-05,56,80,2019-09-12,92,100,2019-09-19,50,70,2019-09-26,85,90,2019-10-03,46,50,2019-10-10,69,70,2019-10-17,40,60,2019-10-24,52,60,2019-10-31,94,100,2019-10-08,74,100,2019-11-08,68,100,2019-12-08,travis.washington@univ.edu,1,11,13,10,9,8,0.94,0.74,0.68,0.8391891891891892,0.8355277777777779,0.8391891891891892,0.7391304347826086,0.7528851540616246,0.7528851540616246,0.7845412218941631,79.0,C
149,"Barrera, Woody",Woody,Barrera,wxb12345,55.0,80,2019-08-29,62,80,2019-09-05,73,80,2019-09-12,83,100,2019-09-19,68,70,2019-09-26,87,90,2019-10-03,36,50,2019-10-10,43,70,2019-10-17,45,60,2019-10-24,46,60,2019-10-31,86,100,2019-10-08,62,100,2019-11-08,90,100,2019-12-08,woody.barrera_jr@univ.edu,1,4,10,11,7,10,0.86,0.62,0.9,0.8081081081081081,0.799404761904762,0.8081081081081081,0.6086956521739131,0.6021390374331551,0.6086956521739131,0.7458519388954172,75.0,C
